# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pressure v_tempera v_dense v_entha
0 10.4604 -238.983 6137.94 325 0.896305 -187.73
10 9.64922 -238.155 6436.69 299.798 0.896305 -185.728
20 9.36926 -237.474 6585.16 291.1 0.896305 -184.34
30 10.8603 -238.937 6058.42 337.424 0.896305 -187.813
40 13.3305 -241.561 5134.82 414.174 0.896305 -194.105
50 15.3341 -244.142 4308.01 476.424 0.896305 -200.177
60 16.3136 -245.938 3599.27 506.856 0.896305 -205.704
70 15.8082 -246.919 3014.08 491.155 0.896305 -211.079
80 15.6673 -247.509 2611.14 486.779 0.896305 -214.488
90 14.6725 -247.708 2280.69 455.87 0.896305 -217.878
100 14.3928 -248.052 1937.3 447.18 0.896305 -220.784
110 13.966 -248.769 1482.08 433.918 0.896305 -224.954
120 13.5782 -249.752 955.556 421.869 0.896305 -229.824
130 14.1566 -250.649 590.157 439.84 0.896305 -232.57
140 14.0902 -251.285 341.652 437.778 0.896305 -234.924
150 13.9473 -252.038 55.4899 433.337 0.896305 -237.722
160 13.9998 -252.79 -228.23 434.969 0.896305 -240.307
170 13.8303 -253.104 -333.617 429.702 0.896305 -241.491
180 12.9213 -253.027 -397.694 401.461 0.896305 -242.748
190 12.8438 -252.976 -354.608 399.051 0.896305 -242.489
200 12.0082 -252.965 -462.318 373.089 0.896305 -244.029
210 12.1729 -253.122 -468.05 378.208 0.896305 -244.06
220 12.2753 -253.406 -567.039 381.389 0.896305 -244.899
230 12.5323 -253.694 -589.622 389.374 0.896305 -245.08
240 11.7248 -253.886 -723.733 364.284 0.896305 -246.971
250 11.7451 -254.189 -808.63 364.917 0.896305 -247.818
260 11.4858 -254.603 -956.233 356.858 0.896305 -249.472
270 11.3607 -254.951 -1134.67 352.972 0.896305 -251.131
280 10.875 -254.97 -1220.76 337.882 0.896305 -252.208
290 11.0284 -254.752 -1102.95 342.649 0.896305 -251.054
300 11.0625 -254.802 -1102.23 343.707 0.896305 -251.065
310 11.4501 -255.108 -1149.87 355.751 0.896305 -251.3
320 11.3775 -255.368 -1226.85 353.495 0.896305 -252.144
330 11.7129 -255.463 -1220.94 363.917 0.896305 -251.864
340 11.3517 -255.499 -1257.81 352.692 0.896305 -252.506
350 11.3118 -255.694 -1310.99 351.454 0.896305 -253.095
360 11.0914 -255.896 -1395.16 344.606 0.896305 -254.077
370 10.9172 -255.95 -1449.64 339.194 0.896305 -254.667
380 11.072 -256.088 -1485.61 344.002 0.896305 -254.889
390 10.6524 -256.284 -1637.34 330.968 0.896305 -256.513
400 10.6189 -256.532 -1738.21 329.924 0.896305 -257.466
410 10.5276 -256.865 -1850.74 327.088 0.896305 -258.637
420 10.2511 -257.216 -1983.69 318.497 0.896305 -260.149
430 10.0994 -257.336 -2006.54 313.785 0.896305 -260.572
440 10.2782 -257.208 -1910.91 319.34 0.896305 -259.63
450 10.7804 -256.985 -1773.76 334.942 0.896305 -257.993
460 10.7209 -256.73 -1695.41 333.095 0.896305 -257.277
470 10.4265 -256.516 -1643.72 323.947 0.896305 -257.014
480 10.5564 -256.584 -1665.84 327.984 0.896305 -257.099
490 10.9274 -256.901 -1699.17 339.511 0.896305 -257.266
500 10.903 -257.156 -1748.49 338.753 0.896305 -257.873
510 10.1548 -257.32 -1851.15 315.506 0.896305 -259.467
520 10.8105 -257.521 -1811.94 335.877 0.896305 -258.753
530 10.8051 -257.821 -1856.79 335.709 0.896305 -259.356
540 10.8734 -258.09 -1948.07 337.831 0.896305 -260.163
550 10.6891 -257.856 -1925.28 332.108 0.896305 -259.963
560 10.5088 -257.232 -1779.77 326.506 0.896305 -258.552
570 9.90807 -256.85 -1788.07 307.84 0.896305 -258.825
580 9.64013 -256.919 -1889.11 299.515 0.896305 -259.834
590 9.42354 -257.011 -1965.67 292.786 0.896305 -260.652
600 9.66438 -256.864 -1943.92 300.269 0.896305 -260.119
610 9.5186 -256.866 -1977.99 295.739 0.896305 -260.493
620 9.41203 -257.32 -2152.45 292.428 0.896305 -262.213
630 10.2825 -257.964 -2240.16 319.474 0.896305 -262.569
640 10.7706 -258.397 -2290 334.639 0.896305 -262.845
650 10.9312 -258.416 -2272.87 339.629 0.896305 -262.59
660 11.3481 -258.311 -2227.63 352.581 0.896305 -261.768
670 10.8044 -257.958 -2192.99 335.689 0.896305 -261.728
680 10.7875 -257.579 -2076.11 335.165 0.896305 -260.589
690 10.7372 -257.443 -2031.88 333.602 0.896305 -260.209
700 10.8062 -257.349 -1976.16 335.745 0.896305 -259.676
710 10.6818 -257.178 -1908.93 331.88 0.896305 -259.183
720 10.4674 -257.104 -1858.95 325.218 0.896305 -258.991
730 10.661 -257.25 -1863.77 331.233 0.896305 -258.975
740 10.369 -257.237 -1898.69 322.162 0.896305 -259.486
750 10.3657 -257.114 -1848.72 322.058 0.896305 -259.035
760 10.603 -257.12 -1830.17 329.432 0.896305 -258.68
770 11.3047 -257.337 -1813.53 351.232 0.896305 -258.085
780 11.0183 -257.352 -1865.03 342.336 0.896305 -258.728
790 11.1686 -256.995 -1736.51 347.004 0.896305 -257.367
800 10.8975 -256.506 -1579.18 338.583 0.896305 -256.103
810 10.1938 -256.045 -1479.1 316.717 0.896305 -255.681
820 10.5329 -256.083 -1430.1 327.254 0.896305 -255.054
830 11.184 -256.487 -1467.44 347.481 0.896305 -255.055
840 11.4059 -256.652 -1477.74 354.377 0.896305 -255.067
850 11.19 -256.436 -1452.48 347.67 0.896305 -254.899
860 11.0748 -255.973 -1347.39 344.09 0.896305 -253.852
870 10.5432 -255.672 -1371.26 327.573 0.896305 -254.242
880 11.1013 -256.018 -1483.48 344.912 0.896305 -254.776
890 11.1467 -256.522 -1672.76 346.322 0.896305 -256.492
900 11.7836 -256.741 -1659.68 366.112 0.896305 -255.987
910 11.2849 -256.452 -1617.62 350.616 0.896305 -255.918
920 10.8543 -255.958 -1433.06 337.238 0.896305 -254.628
930 10.4126 -255.623 -1285.03 323.515 0.896305 -253.75
940 10.6144 -255.786 -1309.02 329.787 0.896305 -253.871
950 10.5099 -256.255 -1481.17 326.539 0.896305 -255.589
960 11.1472 -256.705 -1548.91 346.338 0.896305 -255.852
970 10.9243 -256.917 -1638.81 339.413 0.896305 -256.884
980 10.4691 -256.982 -1715.77 325.272 0.896305 -257.916
990 9.97215 -257.049 -1762.92 309.831 0.896305 -258.793
1000 10.3289 -257.135 -1740.7 320.915 0.896305 -258.374
1010 10.4335 -256.997 -1662.25 324.166 0.896305 -257.61
1020 10.1768 -256.692 -1622.61 316.189 0.896305 -257.299
1030 9.87362 -256.487 -1615.46 306.77 0.896305 -257.35
1040 9.92526 -256.58 -1741.69 308.374 0.896305 -258.23
1050 10.4994 -256.722 -1834.29 326.212 0.896305 -258.413
1060 10.8336 -256.663 -1825.61 336.596 0.896305 -257.962
1070 10.3417 -256.516 -1876.41 321.313 0.896305 -258.645
1080 10.1072 -256.412 -1894.24 314.026 0.896305 -258.894
1090 10.1007 -256.518 -1927.07 313.826 0.896305 -259.225
1100 9.93432 -256.766 -1959.85 308.656 0.896305 -259.857
1110 9.86664 -257.031 -1992.69 306.553 0.896305 -260.407
1120 9.95414 -257.417 -2064.35 309.271 0.896305 -261.183
1130 10.4759 -257.792 -2083.39 325.484 0.896305 -261.162
1140 10.4505 -257.863 -2043.44 324.692 0.896305 -260.993
1150 9.98505 -257.609 -1955.68 310.232 0.896305 -260.621
1160 9.35317 -257.309 -1902.28 290.599 0.896305 -260.598
1170 9.34089 -257.255 -1893.97 290.218 0.896305 -260.501
1180 9.52565 -257.55 -1982.46 295.958 0.896305 -261.199
1190 10.0081 -258.048 -2115.6 310.948 0.896305 -262.1
1200 10.2718 -258.433 -2223.93 319.141 0.896305 -262.941
1210 10.7027 -258.575 -2244.94 332.529 0.896305 -262.792
1220 9.89665 -258.408 -2299.34 307.485 0.896305 -263.793
1230 9.45625 -258.112 -2266.26 293.802 0.896305 -263.717
1240 9.80927 -257.936 -2199.82 304.77 0.896305 -262.746
1250 10.1623 -257.96 -2156.86 315.74 0.896305 -262.132
1260 10.0898 -257.975 -2182.1 313.487 0.896305 -262.387
1270 10.2522 -257.874 -2115.03 318.533 0.896305 -261.678
1280 10.5828 -257.727 -2034.67 328.804 0.896305 -260.666
1290 10.4065 -257.55 -1992.97 323.327 0.896305 -260.389
1300 10.3442 -257.41 -1965.91 321.39 0.896305 -260.131
1310 9.99436 -257.427 -2036.91 310.521 0.896305 -260.97
1320 10.0283 -257.503 -2079.07 311.575 0.896305 -261.292
1330 9.92978 -257.507 -2120.65 308.514 0.896305 -261.671
1340 10.6479 -257.65 -2112.74 330.825 0.896305 -261.043
1350 10.7377 -257.844 -2187.4 333.615 0.896305 -261.644
1360 10.8554 -257.852 -2174.19 337.273 0.896305 -261.446
1370 10.5759 -257.72 -2152.23 328.588 0.896305 -261.448
1380 10.4404 -257.467 -2086.31 324.379 0.896305 -260.892
1390 10.1616 -257.143 -2004.87 315.718 0.896305 -260.306
1400 9.74883 -257.081 -1961.25 302.893 0.896305 -260.366
1410 9.58698 -257.475 -2070.24 297.864 0.896305 -261.646
1420 10.1846 -258.074 -2207.41 316.431 0.896305 -262.56
1430 10.0985 -258.295 -2236.7 313.757 0.896305 -263.061
1440 10.1075 -258.207 -2187.64 314.035 0.896305 -262.639
1450 10.3769 -258.033 -2129.88 322.407 0.896305 -261.812
1460 10.2546 -257.769 -2113.13 318.606 0.896305 -261.558
1470 9.88545 -257.51 -2117.96 307.137 0.896305 -261.7
1480 9.96198 -257.446 -2096.67 309.515 0.896305 -261.418
1490 10.5434 -257.579 -2070.73 327.58 0.896305 -260.798
1500 10.8473 -257.775 -2096.66 337.021 0.896305 -260.862
1510 11.2149 -257.881 -2058.19 348.441 0.896305 -260.345
1520 11.161 -257.662 -1975.18 346.77 0.896305 -259.628
1530 10.8376 -257.211 -1870.23 336.719 0.896305 -258.803
1540 10.6587 -256.932 -1766.59 331.162 0.896305 -258.014
1550 11.0677 -256.964 -1698.38 343.868 0.896305 -257.183
1560 11.0409 -256.952 -1665.66 343.038 0.896305 -256.981
1570 10.9367 -256.533 -1513.98 339.799 0.896305 -255.658
1580 9.79026 -256.017 -1467.87 304.18 0.896305 -255.982
1590 10.0679 -256.162 -1492.19 312.804 0.896305 -256.011
1600 11.1098 -256.886 -1637.69 345.176 0.896305 -256.66
1610 11.0826 -257.459 -1885.29 344.332 0.896305 -258.906
1620 11.4263 -257.53 -1912.95 355.011 0.896305 -258.817
1630 11.6494 -257.352 -1866.28 361.943 0.896305 -258.106
1640 10.9321 -257.267 -1930.79 339.656 0.896305 -259.167
1650 11.1522 -257.29 -1937.55 346.494 0.896305 -259.015
1660 10.8896 -257.247 -1933.59 338.337 0.896305 -259.208
1670 10.7032 -257.236 -1885.58 332.545 0.896305 -259.064
1680 11.1123 -257.339 -1868.57 345.256 0.896305 -258.645
1690 10.8248 -257.52 -1932.19 336.322 0.896305 -259.536
1700 10.486 -257.588 -1994.17 325.797 0.896305 -260.356
1710 10.0687 -257.421 -1975.28 312.832 0.896305 -260.479
1720 10.3339 -257.334 -1901.8 321.069 0.896305 -259.639
1730 10.5079 -257.444 -1881.91 326.476 0.896305 -259.444
1740 10.5625 -257.489 -1856.18 328.173 0.896305 -259.263
1750 10.1808 -257.327 -1812.67 316.313 0.896305 -259.193
1760 10.6902 -257.177 -1674.57 332.14 0.896305 -257.616
1770 10.5456 -257.291 -1708.24 327.647 0.896305 -258.099
1780 10.6957 -257.626 -1822.41 332.313 0.896305 -259.042
1790 11.1479 -257.856 -1922.06 346.362 0.896305 -259.482
1800 11.3272 -257.668 -1898.18 351.931 0.896305 -258.956
1810 10.0663 -257.277 -1939.24 312.756 0.896305 -260.099
1820 10.219 -257.209 -1933.33 317.499 0.896305 -259.839
1830 10.2604 -257.431 -2006 318.788 0.896305 -260.503
1840 10.555 -257.706 -2047.61 327.939 0.896305 -260.76
1850 10.6083 -257.985 -2133.1 329.596 0.896305 -261.553
1860 10.3581 -258.254 -2246.27 321.822 0.896305 -262.824
1870 10.3528 -258.44 -2278.93 321.658 0.896305 -263.233
1880 10.3455 -258.494 -2211.18 321.429 0.896305 -262.844
1890 10.0938 -258.473 -2194.87 313.612 0.896305 -262.967
1900 10.0375 -258.496 -2184.41 311.863 0.896305 -262.976
1910 10.0714 -258.561 -2174.96 312.915 0.896305 -262.945
1920 9.89483 -258.536 -2180.01 307.429 0.896305 -263.129
1930 9.93804 -258.377 -2153.3 308.771 0.896305 -262.749
1940 10.0715 -258.348 -2175.2 312.917 0.896305 -262.733
1950 10.1094 -258.525 -2285.27 314.094 0.896305 -263.604
1960 10.325 -258.644 -2347.84 320.794 0.896305 -263.923
1970 10.3128 -258.531 -2333.32 320.416 0.896305 -263.726
1980 10.0811 -258.23 -2255.96 313.216 0.896305 -263.142
1990 9.43393 -257.965 -2267.69 293.109 0.896305 -263.603
2000 9.54569 -257.96 -2266.62 296.581 0.896305 -263.478
2010 10.1906 -258.286 -2290.37 316.619 0.896305 -263.317
2020 10.5484 -258.725 -2367.25 327.734 0.896305 -263.909
2030 10.7241 -258.805 -2339.72 333.194 0.896305 -263.63
2040 10.1968 -258.415 -2251.69 316.81 0.896305 -263.182
2050 10.2025 -258.04 -2143.53 316.989 0.896305 -262.083
2060 10.1006 -257.885 -2071.93 313.822 0.896305 -261.554
2070 10.1798 -258.018 -2091.9 316.282 0.896305 -261.741
2080 9.94875 -258.322 -2250.68 309.104 0.896305 -263.331
2090 10.1749 -258.593 -2355.2 316.13 0.896305 -264.071
2100 10.8337 -258.687 -2363.19 336.6 0.896305 -263.559
2110 10.6306 -258.484 -2339.13 330.289 0.896305 -263.399
2120 10.2863 -258.151 -2278.7 319.591 0.896305 -263.009
2130 10.7003 -257.928 -2182 332.456 0.896305 -261.729
2140 10.8197 -257.948 -2144.7 336.164 0.896305 -261.381
2150 10.799 -258.295 -2207.46 335.521 0.896305 -262.167
2160 10.705 -258.765 -2326.75 332.599 0.896305 -263.523
2170 11.3312 -258.971 -2238.19 352.056 0.896305 -262.514
2180 10.6816 -258.736 -2137.31 331.873 0.896305 -262.259
2190 10.2975 -258.446 -2055.45 319.94 0.896305 -261.809
2200 10.7566 -258.343 -1933.63 334.205 0.896305 -260.437
2210 10.2803 -258.302 -1983.49 319.404 0.896305 -261.204
2220 9.74592 -258.189 -2052.55 302.802 0.896305 -262.084
2230 9.76197 -257.992 -2034.48 303.301 0.896305 -261.752
2240 9.91852 -257.898 -2029.29 308.165 0.896305 -261.466
2250 10.1353 -257.882 -2042.57 314.9 0.896305 -261.321
2260 10.4998 -257.986 -2043.62 326.225 0.896305 -261.068
2270 10.1749 -258.141 -2116.99 316.13 0.896305 -262.036
2280 10.7955 -258.233 -2086.79 335.412 0.896305 -261.307
2290 10.9754 -258.092 -2002.01 341.003 0.896305 -260.422
2300 10.2253 -257.898 -2002.63 317.695 0.896305 -260.982
2310 10.361 -258.005 -2022.77 321.913 0.896305 -261.087
2320 10.298 -258.458 -2159.47 319.955 0.896305 -262.512
2330 10.8784 -258.793 -2192.54 337.988 0.896305 -262.486
2340 10.2629 -258.642 -2185.08 318.863 0.896305 -262.901
2350 9.85286 -258.218 -2082.86 306.125 0.896305 -262.207
2360 9.88169 -258.034 -2049.82 307.02 0.896305 -261.775
2370 10.0203 -258.159 -2139.03 311.327 0.896305 -262.355
2380 10.6463 -258.427 -2184.92 330.777 0.896305 -262.301
2390 10.6485 -258.737 -2316.32 330.846 0.896305 -263.483
2400 10.723 -258.888 -2391.08 333.158 0.896305 -264.056
2410 11.2028 -258.73 -2263.56 348.067 0.896305 -262.571
2420 10.6936 -258.378 -2149.55 332.245 0.896305 -261.971
2430 10.3166 -258.029 -2040.8 320.532 0.896305 -261.275
2440 10.0658 -257.68 -1895.49 312.74 0.896305 -260.211
2450 9.76099 -257.458 -1771.63 303.27 0.896305 -259.471
2460 10.347 -257.578 -1678.55 321.477 0.896305 -258.387
2470 10.5833 -257.97 -1781.32 328.82 0.896305 -259.225
2480 10.9697 -258.182 -1817.62 340.825 0.896305 -259.292
2490 11.199 -257.949 -1744.15 347.95 0.896305 -258.342
2500 11.2414 -257.576 -1664.09 349.267 0.896305 -257.394
