# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 11.265 -238.983 6218.66 350 0.896305 -186.389
10 10.3484 -238.047 6546.47 321.52 0.896275 -184.19
20 9.93066 -237.185 6733.69 308.542 0.896183 -182.496
30 11.3964 -238.581 6218.53 354.083 0.896029 -185.844
40 13.9337 -241.225 5273.23 432.916 0.895815 -192.226
50 15.9909 -243.823 4429.7 496.832 0.895553 -198.368
60 16.9821 -245.598 3697.48 527.627 0.895248 -204.014
70 16.4591 -246.562 3085.93 511.379 0.894908 -209.562
80 16.3194 -247.113 2669.96 507.039 0.89454 -213.014
90 15.2937 -247.27 2328.65 475.171 0.894146 -216.462
100 15.0936 -247.658 1951.27 468.952 0.89373 -219.559
110 14.6959 -248.418 1461.11 456.597 0.893296 -223.979
120 14.26 -249.386 896.231 443.052 0.892849 -229.146
130 14.7899 -250.186 539.6 459.516 0.892393 -231.795
140 14.6807 -250.741 268.418 456.125 0.891933 -234.267
150 14.5635 -251.49 -54.1672 452.482 0.89147 -237.288
160 14.5747 -252.16 -342.906 452.83 0.891009 -239.878
170 14.3313 -252.333 -441.779 445.267 0.89055 -240.957
180 13.425 -252.21 -503.909 417.111 0.890096 -242.158
190 13.4289 -252.162 -505.727 417.229 0.889647 -242.119
200 12.5763 -252.113 -621.538 390.741 0.889203 -243.7
210 12.7988 -252.263 -659.9 397.653 0.888765 -243.887
220 12.9715 -252.575 -774.312 403.021 0.888334 -244.796
230 13.2442 -252.834 -814.787 411.493 0.88791 -245.056
240 12.3562 -252.961 -957.584 383.904 0.887494 -247.032
250 12.3515 -253.201 -1060.32 383.756 0.887088 -247.969
260 12.0375 -253.541 -1225.94 374.001 0.886692 -249.739
270 11.8914 -253.828 -1407.78 369.462 0.886308 -251.398
280 11.4748 -253.886 -1524.86 356.519 0.885937 -252.663
290 11.7113 -253.685 -1470.09 363.866 0.885581 -251.862
300 11.564 -253.503 -1391.37 359.289 0.885239 -251.302
310 11.9837 -253.76 -1437.38 372.328 0.884911 -251.452
320 12.1002 -254.178 -1580.01 375.95 0.884596 -252.718
330 12.5613 -254.359 -1591.81 390.274 0.884297 -252.521
340 12.0937 -254.302 -1644.39 375.747 0.884012 -253.288
350 11.8221 -254.233 -1697.16 367.307 0.883744 -253.85
360 11.4165 -254.184 -1750.52 354.708 0.883491 -254.57
370 11.2282 -254.127 -1781.6 348.855 0.883255 -254.915
380 11.5588 -254.347 -1836.91 359.127 0.883036 -255.179
390 11.4269 -254.823 -2073.16 355.03 0.882834 -257.385
400 11.5535 -255.264 -2234.92 358.962 0.882652 -258.793
410 11.3019 -255.48 -2327.92 351.147 0.882492 -259.892
420 10.7817 -255.6 -2409.46 334.984 0.882353 -261.085
430 10.6026 -255.65 -2397.28 329.418 0.882237 -261.233
440 11.0061 -255.687 -2317.52 341.955 0.882143 -260.331
450 11.885 -255.794 -2215.31 369.262 0.882071 -258.869
460 12.0061 -255.779 -2213.25 373.025 0.88202 -258.72
470 11.4322 -255.367 -2173.74 355.193 0.88199 -258.616
480 10.9649 -254.816 -2039.45 340.674 0.88198 -257.625
490 11.0197 -254.694 -2001.91 342.378 0.88199 -257.195
500 11.093 -254.92 -2032.72 344.655 0.882018 -257.556
510 10.511 -255.188 -2177.41 326.573 0.882065 -259.382
520 11.361 -255.488 -2190.62 352.981 0.882133 -258.92
530 11.408 -255.814 -2314.97 354.443 0.882222 -260.036
540 11.4417 -256.013 -2410.6 355.489 0.882332 -260.846
550 11.5586 -256.048 -2438.47 359.123 0.882465 -260.949
560 11.9281 -256 -2442.98 370.603 0.882621 -260.56
570 11.4587 -255.924 -2447.42 356.017 0.8828 -260.98
580 11.0943 -256.094 -2495.98 344.696 0.883002 -261.838
